"","x"
"FC-CycPro",0.792817679558011
"FC-Endo",0.95
"FC-ExN-1",0.957818930041152
"FC-ExN-2",0.963255630185697
"FC-ExN-3",0.920158800176445
"FC-ExN-4",0.95068330362448
"FC-ExN-5",0.951859956236324
"FC-IP",0.883783783783784
"FC-InN-1",0.964766175528507
"FC-InN-2",0.97119341563786
"FC-InN-3",0.899270072992701
"FC-InN-4",0.939271255060729
"FC-MG",0.961538461538461
"FC-N-undef",0.99047619047619
"FC-OPC",0.944444444444444
"FC-RG-1",0.968486462494452
"FC-RG-2",0.962962962962963
