# TOTAL_GENES = 18183
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE         TYPE  NGENES         BETA     BETA_STD           SE            P
Thal.RG.6         SET    1034     0.088355     0.020462     0.040281     0.014146
Thal.InN.1        SET     939     0.061901     0.013699      0.04074     0.064339
Thal.RG.1         SET    1054    -0.031781   -0.0074268     0.038311       0.7966
Thal.InN.2        SET     934       0.0665      0.01468     0.041171     0.053146
Thal.InN.3        SET     950   -0.0023542  -0.00052388     0.039957      0.52349
Thal.RG.2         SET    1082    -0.049027    -0.011599      0.03822       0.9002
Thal.InN.5        SET     939      0.13062     0.028907     0.040448    0.0006219
Thal.InN.6        SET    1014      0.11799     0.027075     0.038951    0.0012287
Thal.ExN.1        SET    1271      0.13498     0.034418      0.03491   5.5458e-05
Thal.CycPro       SET    1130     -0.07067    -0.017062     0.036997      0.97193
Thal.RG.7         SET     996    -0.041916    -0.009538     0.039512      0.85561
Thal.IP           SET     912   4.4696e-05    9.756e-06     0.041218      0.49957
Thal.RG.3         SET    1076    -0.088239    -0.020821     0.037739       0.9903
Thal.InN.4        SET     844      0.10178     0.021413     0.041132     0.006679
Thal.RG.4         SET    1125     0.031528    0.0075959       0.0374      0.19962
Thal.InN.7        SET    1073      0.13656      0.03218     0.037383   0.00013011
Thal.OPC          SET     981     0.032926     0.007439     0.039858      0.20438
Thal.RG.5         SET     650    -0.068001    -0.012626     0.046544      0.92798
Thal.ExN.2        SET     749    -0.018247   -0.0036264     0.043858      0.66131
Thal.ExN.3        SET    1149       0.1227     0.029854     0.035416   0.00026647
Thal.InN.8        SET     775     0.068048     0.013746     0.043814      0.06021
Thal.MG           SET     926      -0.1306    -0.028713      0.04027      0.99941
Thal.Endo         SET    1003     -0.15796    -0.036063     0.038152      0.99998
