# MEAN_SAMPLE_SIZE = 46350
# TOTAL_GENES = 18047
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE         TYPE  NGENES         BETA     BETA_STD           SE            P
Thal.RG.6         SET    1030   -0.0011361  -0.00026356      0.03086      0.51468
Thal.InN.1        SET     937     0.027844    0.0061778      0.03197       0.1919
Thal.RG.1         SET    1051    -0.045317    -0.010613     0.030169      0.93345
Thal.InN.2        SET     930     0.029559    0.0065351     0.032432      0.18105
Thal.InN.3        SET     949     0.010468    0.0023365     0.031614      0.37028
Thal.RG.2         SET    1078     0.022799    0.0054033     0.029516      0.21993
Thal.InN.5        SET     938    -0.012678   -0.0028143      0.03122      0.65766
Thal.InN.6        SET    1008     0.028541    0.0065543     0.030559      0.17518
Thal.ExN.1        SET    1262     0.022071    0.0056288     0.027263       0.2091
Thal.CycPro       SET    1124    0.0028605    0.0006913     0.028558      0.46011
Thal.RG.7         SET     992   -0.0023739  -0.00054106     0.030628      0.53089
Thal.IP           SET     908    -0.027563   -0.0060252     0.032526      0.80161
Thal.RG.3         SET    1073     -0.04671    -0.011046     0.029026      0.94621
Thal.InN.4        SET     842     0.032298    0.0068118     0.032882        0.163
Thal.RG.4         SET    1120   -0.0063838   -0.0015402     0.028799      0.58771
Thal.InN.7        SET    1067      0.06183     0.014583      0.02941      0.01777
Thal.OPC          SET     977     0.033374    0.0075523     0.031245      0.14274
Thal.RG.5         SET     648   -0.0071511   -0.0013306     0.036628      0.57739
Thal.ExN.2        SET     745     0.021337     0.004245     0.034722      0.26944
Thal.ExN.3        SET    1141     0.035339    0.0086004     0.028621      0.10848
Thal.InN.8        SET     773    -0.040708   -0.0082428     0.034216      0.88292
Thal.MG           SET     921    0.0042486   0.00093501     0.031133      0.44573
Thal.Endo         SET    1001    -0.028258    -0.006468     0.031068      0.81846
