KLHL17
ACAP3
MRPL20-AS1
PRKCZ-AS1
SKI
LRRC47
GPR153
AL031848.2
ERRFI1
RERE
RERE-AS1
GPR157
PIK3CD
CTNNBIP1
AL357140.4
MASP2
ANGPTL7
AL031293.1
CELA2B
ZBTB17
AL137802.2
CDC42-IT1
ZBTB40
CLIC4
SYF2
RHCE
MACO1
PDIK1L
CNKSR1
SH3BGRL3
XKR8
PTAFR
AL360012.1
NKAIN1
SERINC2
KHDRBS1
AL445248.1
TMEM39B
MARCKSL1
FNDC5
ZSCAN20
C1orf216
AGO1
AL139286.3
MAP7D1
MANEAL
YRDC
FHL3
RRAGC
HIVEP3
P3H1
C1orf50
SVBP
ERMAP
ZNF691
ELOVL1
MED8
PLK3
HECTD3
ZSWIM5
BEND5
AL049637.1
AL162430.2
KTI12
KANK4
IL12RB2
GADD45A
AL033530.1
LRRC40
USP33
IFI44
LINC01725
TTLL7-IT1
BCL10
LINC02795
ODF2L
BX005019.1
OLFM3
COL11A1
AL355306.2
TMEM167B
SARS
CELSR2
CYB561D1
AL365361.1
AL355816.2
BCL2L15
LINC01649
ZNF697
ITGA10
LINC01719
FMO5
BCL9
PDE4DIP
AC239802.2
AC239804.1
AC245297.3
HIST2H4A
HIST2H2BE
PLEKHO1
MLLT11
AL592424.1
SEMA6C
SCNM1
ZNF687
AL391069.2
CELF3
AL589765.1
MRPL9
TDRKH-AS1
SLC27A3
AL358472.4
UBE2Q1
AL451085.2
MTX1
RUSC1
ARHGEF2
AL355388.3
SSR2
LAMTOR2
RAB25
MEX3A
USF1
TOMM40L
NR1I3
PBX1
AL357568.1
AL357568.2
POGK
ADCY10
GPR161
ASTN1
BRINP2
AL136114.1
RASAL2-AS1
IER5
LINC01344
NMNAT2
AL354953.1
AL449223.1
ZBTB41
AL136322.1
PTPRC
MIR181A1HG
ZNF281
KIF21B
RABIF
KLHL12
CYB5R1
AL606489.1
TMEM81
PLXNA2
VASH2
TAF1A
LINC01703
PARP1
JMJD4
OBSCN-AS1
OBSCN
AL353593.1
AL353593.2
AL353593.3
TRIM11
HIST3H2BB
RHOU
EXOC8
SIPA1L2
ERO1B
AL359921.1
OPN3
CHML
TRIM58
SH3BP5L
SOX11
AC010729.2
AC017053.1
MIR7515HG
LINC01954
KCNF1
AC099344.1
VSNL1
AC079148.1
LINC00954
AC009242.1
KIF3C
ABHD1
LBH
NLRC4
AL133245.1
CDC42EP3
SOCS5
EPCAM-DT
AC073283.2
AC012358.3
AC007743.1
AC007100.1
BCL11A
KIAA1841
CEP68
ANTXR1
LINC01816
AC005234.1
NAGK
AC005034.6
VAMP8
PLGLB2
AC009237.14
TMEM127
LMAN2L
ANKRD39
AFF3
TBC1D8-AS1
SLC9A4
MFSD9
AC073987.1
POU3F3
FHL2
AC096669.1
LINC01885
AMER3
LINC01945
AC010974.2
NCKAP5-AS2
CXCR4
THSD7B
AC092620.1
NXPH2
AC079584.1
ZEB2
AC009951.5
ZEB2-AS1
AC079790.1
ACVR1C
AC091488.1
AC009506.1
PLA2R1
FIGN
CSRNP3
AC009495.1
TTC21B
TTC21B-AS1
AC007277.1
AC007405.1
ERICH2
GAD1
AC007405.2
DLX2
MAP3K20
SP9
AC012499.1
CHROMR
FKBP7
SESTD1
AC009315.1
ASNSD1
OSGEPL1-AS1
MFSD6
AC092614.1
HECW2
C2orf66
ANKRD44-IT1
MOB4
PLCL1
AC011997.2
AC064836.3
CPO
KLF7
KLF7-IT1
MAP2
LANCL1
ERBB4
TMEM169
AAMP
TMBIM1
CDK5R2
RETREG2
STK16
AC009955.3
AC079834.2
AC068489.1
MRPL44
NYAP2
AC016717.2
LINC01807
ARL4C
SH3BP4
COL6A3
LRRFIP1
AC012076.1
RBM44
LRRN1
BRPF1
OGG1
SLC6A1-AS1
VGLL4
AC022001.2
HDAC11
SLC6A6
CCDC174
C3orf20
EAF1
SATB1
AC144521.1
MYD88
ACVR2B
GORASP1
ZNF619
ZNF620
AC006058.1
ZNF445
ZKSCAN7
ZNF660
ZNF35
AC124045.1
ATRIP
CELSR3
BSN
SEMA3F-AS1
U73166.1
TUSC2
RBM15B
GRM2
TWF2
ARHGEF3
SPATA12
IL17RD
CADPS
PDZRN3-AS1
ROBO2
EPHA3
AC109129.1
STX19
MTRNR2L12
EPHA6
CRYBG3
SENP7
ZPLD1
CBLB
NECTIN3-AS1
PLCXD2
TAGLN3
TMPRSS7
LSAMP
LINC00903
LINC00901
AC092691.1
LINC02024
AC092691.3
STXBP5L
AC079841.2
KALRN
AC024558.2
TXNRD3
TMEM108
BFSP2
AMOTL2
IL20RB-AS1
MRAS
RBP1
SPSB4
AC108727.2
ANKUB1
PFN2
AC117395.1
TSC22D2
RAP2B
TIPARP
LINC01208
LINC01209
LINC01206
AP2M1
ABCF3
MAGEF1
TBCCD1
AC068631.1
ST6GAL1
CCDC50
AC046143.1
FBXO45
PAK2
NCBP2AS2
SPON2
SH3BP2
NSG1
CRMP1
BLOC1S4
ZNF518B
AC005599.1
C1QTNF7
UGDH
AC131953.1
BEND4
AC111006.1
COMMD8
CORIN
AC097522.2
KIAA1211
AC022267.1
ADGRL3-AS1
EPHA5
EPHA5-AS1
TMPRSS11A
MOB1B
SLC4A4
CCNG2
AC092674.1
CXCL13
BMP3
SCD5
CCSER1
AC004054.1
AC074124.1
RAP1GDS1
AC096577.1
TET2
TET2-AS1
PAPSS1
LINC02516
ANKRD50
UCP1
SMARCA5
DCLK2
TMEM131L
AC106865.2
TRIM61
FAM218A
AC097534.1
HPGD
GLRA3
ADAM29
LINC01099
AC108169.1
AC096747.1
AC104803.1
LINC00290
LINC02500
AC093840.2
AC084741.1
TEMN3-AS1
TENM3-AS1
TENM3
CDKN2AIP
ACSL1
AC084871.1
LINC02492
AC026412.3
MRPL36
AC022424.1
ADAMTS16
UBE2QL1
AC012640.2
LINC02241
AC010343.3
SLC45A2
AMACR
AC139792.1
HCN1
PARP8
AC008937.2
AC016644.1
PDE4D
AC092343.1
SMIM15
KIF2A
DIMT1
NLN
AC025442.2
AC112206.2
AC146944.4
SERF1A
MAP1B
AC010245.2
SV2C
AC012636.1
AC010260.1
RASGRF2
EDIL3
LINC02488
MEF2C
AC108102.1
AC117528.1
LINC01340
RGMB-AS1
AC008522.1
ST8SIA4
SLCO4C1
SLCO6A1
AC094108.1
PAM
PPIP5K2
C5orf30
AC099520.1
AC008871.1
AC008467.1
STARD4-AS1
NREP
TRIM36
CCDC112
LVRN
LINC01170
AC025465.1
ZNF608
AC112196.1
AC116362.1
PHAX
LEAP2
HNRNPA0
REEP2
SLC4A9
TMCO6
WDR55
PCDHA3
PCDHA4
PCDHA9
PCDHA10
PCDHA12
PCDHA13
AC244517.5
PCDHB2
AC244517.2
PCDHB3
AC244517.1
PCDHB4
PCDHB7
PCDHB16
PCDHB10
PCDHB11
PCDHB12
PCDHB13
PCDHB15
TAF7
AC005618.1
PCDHGA1
PCDHGA2
PCDHGA7
PCDHGA11
PCDHGA12
AC008781.3
PCDHGC3
AC005740.5
DPYSL3
JAKMIP2
AC011370.1
AC011346.1
SPINK9
AFAP1L1
GRPEL2-AS1
IRGM
ANXA6
SLC36A1
SAP30L
AC009185.1
AC091820.2
UBTD2
AC022217.3
DUSP1
NSG2
AC138956.1
ARL10
GPRIN1
TSPAN17
LMAN2
DBN1
ZNF879
HEIH
LINC00847
SERPINB9
TUBB2B
AL033523.1
PXDC1
AL391422.4
SSR1
GCNT2
JARID2
SOX4
RIPOR2
HIST1H2AC
HIST1H2BD
AL353759.1
HIST1H2BE
HIST1H4E
HIST1H2BG
HIST1H4H
ZNF322
HIST1H2BJ
HIST1H2BN
HIST1H2AK
HIST1H3J
HIST1H2AM
ZSCAN9
NKAPL
ZSCAN12
ZSCAN23
AL662844.4
BAK1
