LINC01128
CPTP
DVL1
FNDC10
TMEM52
PRXL2B
AL512413.1
TPRG1L
SMIM1
LRRC47
ICMT
GPR153
PHF13
PGD
FAM131C
AL109627.1
BX284668.2
AL357509.1
IGSF21
IFFO2
NBL1
HTR6
CAMK2N1
FAM43B
PINK1
SH2D5
AL031728.1
CDC42
WNT4
ZNF436
PITHD1
LYPLA2
RCAN3
NCMAP-DT
RHD
RHCE
STMN1
EXTL1
PDIK1L
PIGV
TRNP1
SDC3
FABP3
PEF1
MARCKSL1
HPCA
TMEM54
NCDN
C1orf216
FHL3
RRAGC
HPCAL4
MYCL
RIMS3
AC093151.8
YBX1
ERMAP
AL512353.1
SLC2A1
B4GALT2
UROD
MOB3C
LINC00853
PDZK1IP1
BEND5
RNF11
RAB3B
KTI12
COA7
DHCR24
AL136985.2
AC093424.1
GADD45A
DIRAS3
AL035409.1
LINC01140
RBMXL1
DR1
AC105942.1
TLCD4
LINC02607
GPR88
PRMT6
HENMT1
TAF13
TMEM167B
AMPD2
GSTM3
AL365361.1
AL390195.2
RHOC
PPM1J
NRAS
TSPAN2
TENT5C
LINC00622
AC239800.2
FAM72C
NBPF20
CD160
ANKRD34A
AC245100.6
SV2A
SF3B4
AL590133.1
MLLT11
SELENBP1
TUFT1
CELF3
AL589765.6
S100A10
UBE2Q1
CHRNB2
AL451085.1
PYGO2
SHC1
ZBTB7B
EFNA3
RUSC1
LINC02772
OR10Z1
SPTA1
ACKR1
ITLN1
B4GALT3
TOMM40L
RGS4
CD247
ATP1B1
RGS16
RGS8
ARPC5
AL391645.1
RGS2
GLRX2
B3GALT2
CFHR1
ZBTB41
C1orf53
LHX9
ZNF281
KIF21B
PHLDA3
ELF3
ARL8A
ADIPOR1
TMEM183A
ETNK2
TMEM81
TMCC2
AVPR1B
YOD1
CR1L
LAMB3
HSD11B1-AS1
G0S2
AL590101.1
AC096639.1
PROX1
HLX
AL592148.3
FAM177B
AC092811.1
SRP9
EPHX1
ARF1
GUK1
RNF187
TRIM67
EXOC8
MAP10
TOMM20
GGPS1
LYST-AS1
CHML
