AL590822.2
PRXL2B
GPR153
AL031848.2
TNFRSF25
PLEKHG5
RERE
RERE-AS1
PIK3CD
CTNNBIP1
AL357140.4
AL139424.2
AL031731.1
NPPA
FBXO42
AL137802.2
NBPF1
BX284668.6
IGSF21
ZNF436
RPL11
LYPLA2
CLIC4
AL031432.4
MACO1
STMN1
SH3BGRL3
PHACTR4
LINC01715
OPRD1
SERINC2
CCDC28B
FAM229A
FNDC5
AL513327.1
DLGAP3
TFAP2E
MAP7D1
AL442071.2
FOXO6
P3H1
SVBP
ZNF691
ELOVL1
MED8
AL139220.2
PLK3
HECTD3
ZSWIM5
PIK3R3
ELAVL4
AL592182.2
AL049637.1
KTI12
KANK4
ANGPTL3
DNAJC6
AL139294.1
GADD45A
LRRC40
ST6GALNAC5
AL035409.1
IFI44
LINC01725
LINC02795
SH3GLB1
AL121989.1
LMO4
LINC01364
AL445438.1
LINC02609
FNBP1L
AL355306.2
AKNAD1
GSTM2
AL160006.1
AL355816.2
INKA2
DDX20
KCND3
AL137856.1
ZNF697
LINC02798
PDZK1
AC239799.2
LINC01719
PDE4DIP
AC239802.2
HIST2H4A
AC239868.1
HIST2H2BE
ANXA9
MLLT11
AL592424.1
SEMA6C
PSMB4
CELF3
RIIAD1
MRPL9
TDRKH-AS1
RPS27
CHRNB2
ARHGEF2
SSR2
MEX3A
PIGM
ADAMTS4
MPZ
AL357568.2
RC3H1-IT1
Z99127.4
PAPPA2
ASTN1
BRINP2
AL136114.1
TDRD5
QSOX1
NMNAT2
AL354953.1
AL449223.1
CRB1
AL136322.1
DENND1B
MIR181A1HG
KIF21B
AC104463.2
TMEM81
RBBP5
MAPKAPK2
PLXNA2
LAMB3
AC092803.1
PROX1-AS1
AL592148.3
LEFTY1
SDE2
H3F3A
AL353593.1
CCSAP
TAF5L
EXOC8
GGPS1
ERO1B
EDARADD
LGALS8
AL359918.2
AL645465.1
AL591623.1
TRIM58
OR2L3
SH3BP5L
MYT1L-AS1
TRAPPC12-AS1
AC108488.3
SOX11
AC010729.2
SILC1
AC017053.1
MIR7515HG
AC068481.1
LINC01814
AC073195.1
AC007314.1
LINC01954
AC099344.1
LPIN1
AC068286.2
KCNS3
LINC00954
KLHL29
AC009242.1
ATAD2B
SF3B6
TP53I3
GTF3C2-AS1
LBH
GALNT14
AL133245.1
LINC02613
COX7A2L
EPCAM-DT
AC073283.2
AC093635.1
AC093110.1
BCL11A
PAPOLG
KIAA1841
AC012368.1
TIA1
AC005234.1
CAPG
AC009309.1
AC015971.1
RNF103
AC068279.2
ZNF2
STARD7
CNNM4
ANKRD39
MAP4K4
SLC9A4
AC104655.1
FHL2
AC108058.1
NCK2
AC009505.1
AC018878.1
RGPD3
ST6GAL2
AC016994.1
AC005040.2
AC096669.1
LINC01885
RGPD4
AC017074.1
AC009312.1
AC012306.2
LINC01945
AC097532.2
DARS-AS1
THSD7B
SPOPL
AC079584.1
ZEB2
AC009951.5
ZEB2-AS1
AC009951.6
RND3
AC079790.1
AC009227.1
LINC01876
NR4A2
BAZ2B
AC008277.1
AC009506.1
PLA2R1
TANK
FIGN
AC016766.1
CSRNP3
AC009495.1
TTC21B
TTC21B-AS1
SCN1A-AS1
SCN9A
B3GALT1
CERS6-AS1
AC007405.1
AC007405.3
ERICH2
GAD1
AC007405.2
DLX2
MAP3K20
MAP3K20-AS1
CDCA7
SP9
AC012499.1
CHROMR
FKBP7
SESTD1
PDE1A
AC009315.1
OSGEPL1-AS1
MFSD6
MYO1B
C2orf66
PLCL1
AC011997.2
BZW1
GPR1
KLF7
MYOSLID
LANCL1-AS1
LANCL1
ERBB4
LINC00607
TMEM169
RPL37A
GLB1L
AC009955.4
AC079834.2
AC068489.1
NYAP2
AC016717.2
ARL4C
SH3BP4
LRRFIP1
AC012076.1
RBM44
LINC01237
LINC01238
CNTN4-AS1
OGG1
CAMK1
ARPC4
BRK1
HDAC11
CHCHD4
AC093495.1
SLC6A6
EAF1-AS1
SATB1
AC144521.1
KCNH8
ZNF385D-AS2
