Category	TYPE	NGENES	BETA	BETA_STD	SE	P	magma_FDR	magma_FDR_log10
Hipp-InN-1	SET	939	-0.11143	-0.025	0.057263	0.97416	0.99996	1.7372126720998196e-5
Hipp-InN-2	SET	996	0.082873	0.019116	0.056536	0.071354	0.43288093333333333	0.3636315426933839
Hipp-InN-3	SET	909	-0.16469	-0.036387	0.060158	0.9969	0.99996	1.7372126720998196e-5
Hipp-InN-4	SET	754	-0.12633	-0.025538	0.063878	0.97601	0.99996	1.7372126720998196e-5
Hipp-MG	SET	799	-0.072646	-0.015097	0.063747	0.87276	0.99996	1.7372126720998196e-5
Hipp-OPC	SET	831	-0.029531	-0.0062528	0.061837	0.68352	0.99996	1.7372126720998196e-5
Hipp-RG-1	SET	1074	0.011987	0.0028646	0.054028	0.41221	0.99996	1.7372126720998196e-5
Hipp-RG-2	SET	1094	0.029808	0.0071847	0.055213	0.29465	0.9196763333333333	0.03636498937139952
Hipp-RG-3	SET	976	0.088272	0.020168	0.05807	0.064254	0.41765100000000005	0.3791864744066639
Thal-CycPro	SET	1110	0.059732	0.014495	0.053319	0.13131	0.6289057894736843	0.20141440729895885
Thal-Endo	SET	989	0.23819	0.054761	0.058072	2.0615e-05	9.379825e-4	3.02780526420551
Thal-ExN-1	SET	1234	-0.083083	-0.021179	0.051809	0.94559	0.99996	1.7372126720998196e-5
Thal-ExN-2	SET	734	-0.17816	-0.035555	0.064553	0.99711	0.99996	1.7372126720998196e-5
Thal-ExN-3	SET	1114	0.02347	0.005705	0.052596	0.32772	0.93195375	0.03060563981145422
Thal-InN-1	SET	925	-0.052923	-0.011789	0.060473	0.80925	0.99996	1.7372126720998196e-5
Thal-InN-2	SET	916	-0.00074582	-0.00016538	0.05982	0.50497	0.99996	1.7372126720998196e-5
Thal-InN-3	SET	934	-0.084613	-0.018935	0.059381	0.9229	0.99996	1.7372126720998196e-5
Thal-InN-4	SET	828	-0.062399	-0.013189	0.062078	0.84258	0.99996	1.7372126720998196e-5
Thal-InN-5	SET	924	-0.099035	-0.02205	0.060564	0.94899	0.99996	1.7372126720998196e-5
Thal-InN-6	SET	995	-0.13303	-0.03067	0.057264	0.98991	0.99996	1.7372126720998196e-5
Thal-InN-7	SET	1053	-0.073791	-0.017471	0.055626	0.90766	0.99996	1.7372126720998196e-5
Thal-InN-8	SET	759	-0.045404	-0.0092073	0.065068	0.75734	0.99996	1.7372126720998196e-5
Thal-IP	SET	895	-0.023534	-0.0051614	0.061243	0.64961	0.99996	1.7372126720998196e-5
Thal-MG	SET	911	-0.063478	-0.014039	0.058954	0.85919	0.99996	1.7372126720998196e-5
Thal-OPC	SET	964	0.059545	0.013525	0.058622	0.15489	0.6406813636363636	0.1933579087342275
Thal-RG-1	SET	1043	0.07585	0.017879	0.055756	0.086862	0.46496717647058816	0.3325777042731519
Thal-RG-2	SET	1072	0.12309	0.029388	0.056217	0.014289	0.2600598	0.5849267757836722
Thal-RG-3	SET	1061	0.013909	0.0033048	0.054349	0.39901	0.99996	1.7372126720998196e-5
Thal-RG-4	SET	1105	0.092525	0.022406	0.055241	0.046985	0.41765100000000005	0.3791864744066639
Thal-RG-5	SET	639	0.018542	0.0034623	0.068424	0.3932	0.99996	1.7372126720998196e-5
Thal-RG-6	SET	1024	-0.136	-0.031782	0.058963	0.98945	0.99996	1.7372126720998196e-5
Thal-RG-7	SET	986	0.087775	0.020151	0.056661	0.060687	0.41765100000000005	0.3791864744066639
