Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score	ZscoreP	ldsr_FDR	ldsr_FDR_log10
Cer-CycPro	0.10304506221021784	0.10812195672839092	0.01853421583722382	1.0492686831302591	0.17986515258162455	0.7845604547478365	1.0904525649116479e-9	5.992901343244127e-9	0.1819573696371506	0.42780809071838877	0.9498253202624294	0.0223562572601265
Cer-Endo	0.08554896791043487	0.05140977341513867	0.01652206468340886	0.6009397269288148	0.1931299124579336	0.03018619190680703	-1.4522609906249204e-8	5.976020727843466e-9	-2.4301471778010213	0.9924536536648063	0.9994484271283376	0
Cer-ExN-1	0.12081945809531336	0.14362070577507713	0.01840421895836044	1.1887216516215136	0.15232826937397387	0.2128862462297181	3.848833689111061e-9	5.299139908611468e-9	0.7263129027517164	0.2338234856282328	0.8298841323338149	0.08098253919110204
Cer-ExN-2	0.08776397341523687	0.09757773275136808	0.01951438153377532	1.111819906896187	0.22235070695178208	0.6145297290358953	-5.862997928551007e-10	7.270717743574712e-9	-0.08063850276311803	0.532135277440679	0.9498253202624294	0
Cer-ExN-3	0.11321976145913908	0.11786459959830252	0.01925248392505327	1.0410249772592903	0.17004526133012104	0.8086558485788629	-1.2753134687928564e-9	5.679562447661271e-9	-0.2245443166696767	0.5888331062839802	0.9498253202624294	0
Cer-ExN-4	0.08163664146519159	0.08652056603500996	0.0192541157424522	1.0598251530460228	0.23585139462972415	0.7990839688800239	3.2805447997563045e-11	7.508526671141254e-9	0.00436909255761847	0.4982569897971587	0.9498253202624294	0.0223562572601265
Cer-ExN-5	0.09935316269873024	0.09051230908693288	0.02244878610892755	0.9110158814107852	0.22594938599991296	0.6924124470073887	-4.406707759943463e-9	7.574579545686886e-9	-0.581775890445659	0.7196411771493212	0.9839937978305723	0
Cer-InN-1	0.11559731924613988	0.1182272755164006	0.02611077022653938	1.0227510143609886	0.2258769528291747	0.9198481216165572	-1.2970531079243306e-9	7.620970023006419e-9	-0.17019527750519253	0.5675717172281829	0.9498253202624294	0
Cer-InN-2	0.09490352463338084	0.11915562514608576	0.02119939628124627	1.2555447819919494	0.22337838729531984	0.2616199094997949	7.284189004241395e-9	7.333950105155654e-9	0.9932149659868456	0.1603026032499143	0.8298841323338149	0.08098253919110204
Cer-InN-3	0.10661685085064834	0.10746399444528734	0.0214054599748468	1.0079456820181802	0.2007699515044965	0.9683454940468148	-1.3870360754035142e-9	6.7982584316513775e-9	-0.20402814770114397	0.5808342485761769	0.9498253202624294	0
Cer-InN-4	0.11011264755729548	0.12396246804039032	0.02546368045138477	1.1257786529552682	0.2312511870004317	0.5894380538839992	2.5517931001692102e-9	7.924179852182538e-9	0.3220261462725857	0.37371644342386656	0.944672120876996	0.024718901334744078
Cer-InN-5	0.08005590859093005	0.1108005235031968	0.01986184707322874	1.38403929770338	0.24809970210592291	0.12796485812504696	8.826753404665392e-9	8.022222509610162e-9	1.100287781109468	0.13560337712813528	0.8298841323338149	0.08098253919110204
Cer-InN-6	0.10119340886562496	0.11750176847062688	0.01703761544680784	1.1611602948039614	0.16836684955867184	0.34088392868141615	3.795554328940718e-9	5.728278923938107e-9	0.6625994263441576	0.25379356884318366	0.8553783246196189	0.06784175900948736
Cer-InN-7	0.11412881287011468	0.1323740758756411	0.02003822070000437	1.1598655286661974	0.17557547648207858	0.35576723656621645	2.9056623557284334e-9	6.015341897580249e-9	0.483041929320306	0.3145329825420774	0.8944531691040326	0.04844239286309322
Cer-InN-8	0.06410515136402166	0.04464212069157373	0.01474571030523691	0.6963889756389944	0.2300237967071206	0.18664565115458395	-1.4079377137869557e-8	7.496738429810144e-9	-1.8780670113664508	0.9698140007543369	0.9994484271283376	0
Cer-IP	0.09015176411164338	0.09560396015311153	0.01782524230640994	1.0604779739497516	0.1977248308123541	0.7605301748169044	-1.3302177936783167e-9	6.302353484378646e-9	-0.21106683352107533	0.5835824398878025	0.9498253202624294	0
Cer-MG	0.07710849517686075	0.05399658878864455	0.01663595406235652	0.7002677028619827	0.215747357333317	0.15794335973229992	-1.0190419073235657e-8	6.990536959073825e-9	-1.4577448245958182	0.9275445541585959	0.9994484271283376	0
Cer-OPC	0.10102515299457708	0.125357082842938	0.01781102790554178	1.2408502152891276	0.17630290454989817	0.1703941057289213	6.239991066358662e-9	5.920029996002031e-9	1.0540472042494229	0.1459306529886381	0.8298841323338149	0.08098253919110204
Cer-RG-1	0.1173600637057324	0.10443066203583364	0.02335207635204418	0.88983133391681	0.19897804768236133	0.5758263245032892	-6.074408444654328e-9	6.617244054334971e-9	-0.9179665121577266	0.8206818009238742	0.9839937978305723	0
Cer-RG-2	0.11624517983835024	0.10948000150208062	0.02374642446779653	0.9418025044507032	0.2042787881684053	0.7747799747772176	-5.1518666664265e-9	6.835796946706366e-9	-0.753659991160033	0.7744732941789332	0.9839937978305723	0
Cer-RG-3	0.09567451564368606	0.0932661684000286	0.01933401666216483	0.974827703830488	0.20208115538487972	0.9006384480360545	-2.124269705487793e-9	6.650675705256703e-9	-0.3194065986120429	0.6252908961402804	0.9520916558085274	0
FC-CycPro	0.11067998689516584	0.11699797585558154	0.02108479627498669	1.0570833909331772	0.19050233801489191	0.7634972219391322	2.1374961779812622e-10	6.6143884975914075e-9	0.03231585472730577	0.48711008278217655	0.9498253202624294	0.0223562572601265
FC-Endo	0.08992814987823676	0.04094622446841055	0.01761903516875646	0.455321548634682	0.1959234699325266	0.00309758285433005	-1.91131063881787e-8	5.857871987757221e-9	-3.2628071129114	0.9994484271283376	0.9994484271283376	0
