cluster	gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Cer-InN-1	CNTNAP4	0	2.5845791754349	0.999	0.337	0
Cer-InN-1	ADGRL2	0	2.34347941586066	0.995	0.515	0
Cer-InN-1	RORA	0	2.27840484996747	1	0.932	0
Cer-InN-1	DAB1	0	2.26563121329067	1	0.771	0
Cer-InN-1	OPCML	0	2.18394653865818	0.996	0.458	0
Cer-InN-1	GRM7	0	2.17590635775056	0.997	0.393	0
Cer-InN-1	ITPR1	0	2.07597245498377	0.997	0.334	0
Cer-InN-1	DGKH	0	1.99916357079164	0.991	0.358	0
Cer-InN-1	CA8	0	1.97281682470031	0.999	0.415	0
Cer-InN-1	HS6ST3	0	1.9402411205544	0.999	0.522	0
Cer-InN-1	SDK1	0	1.93919177654431	0.995	0.72	0
Cer-InN-1	MEF2C	0	1.92709852394521	0.994	0.369	0
Cer-InN-1	COL24A1	0	1.90253824094015	0.929	0.166	0
Cer-InN-1	EPHA5	0	1.89722874507015	0.985	0.464	0
Cer-InN-1	AC012404.1	0	1.8920282689248	0.976	0.411	0
Cer-InN-1	NELL1	0	1.85782103344039	0.96	0.266	0
Cer-InN-1	CDH12	0	1.84940590254306	0.981	0.34	0
Cer-InN-1	ZNF385D	0	1.82702944283322	0.998	0.597	0
Cer-InN-1	PRKG1	0	1.82640684295505	1	0.688	0
Cer-InN-1	FOXP2	0	1.81714290011675	0.999	0.661	0
Cer-InN-1	EPHA7	0	1.78962389903443	0.968	0.549	0
Cer-InN-1	EBF1	0	1.78212182628007	1	0.636	0
Cer-InN-1	RORA-AS1	0	1.77107501418109	0.966	0.362	0
Cer-InN-1	BCL11A	0	1.7446570960491	0.988	0.456	0
Cer-InN-1	GRIK1	0	1.65663448184848	0.993	0.59	0
Cer-InN-1	CDH11	0	1.64206292816112	0.969	0.332	0
Cer-InN-1	PTGER3	0	1.60381471198491	0.792	0.114	0
Cer-InN-1	SORCS1	0	1.59013361193361	0.943	0.292	0
Cer-InN-1	LRRC3B	0	1.58546508786675	0.976	0.462	0
Cer-InN-1	CHST11	0	1.57820970660206	0.987	0.518	0
Cer-InN-1	POSTN	0	1.56880460712627	0.667	0.059	0
Cer-InN-1	TENM2	0	1.55257283317048	1	0.814	0
Cer-InN-1	SHISA9	0	1.55042435226893	0.994	0.4	0
Cer-InN-1	LINGO2	0	1.53329544997371	0.999	0.594	0
Cer-InN-1	PRMT8	0	1.51248850999907	0.854	0.171	0
Cer-InN-1	RALYL	0	1.50755463189804	0.996	0.709	0
Cer-InN-1	TENM3	0	1.50681724721862	0.932	0.669	0
Cer-InN-1	CPNE8	0	1.50154599327875	0.916	0.258	0
Cer-InN-1	TMEM132D	0	1.4869830091621	0.961	0.275	0
Cer-InN-1	KCTD8	0	1.47978944477656	0.969	0.394	0
Cer-InN-1	KITLG	0	1.4630102275339	0.966	0.367	0
Cer-InN-1	DPP10	0	1.44923918851221	0.993	0.504	0
