cluster	gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Thal-RG-6	ERVMER61-1	0	3.99262335317733	0.897	0.116	0
Thal-RG-6	AC096570.1	0	3.57919255094265	0.551	0.092	0
Thal-RG-6	GRIK2	0	3.1092232780884	0.993	0.582	0
Thal-RG-6	RELN	0	3.06311902416458	0.987	0.348	0
Thal-RG-6	ERBB4	0	2.97104250249788	0.997	0.568	0
Thal-RG-6	FSTL4	0	2.90671677410228	0.742	0.191	0
Thal-RG-6	AC116362.1	0	2.77122656631025	0.499	0.042	0
Thal-RG-6	AL137139.2	0	2.59226671130705	0.943	0.289	0
Thal-RG-6	AC109466.1	0	2.58525297273674	0.696	0.296	0
Thal-RG-6	THSD7B	0	2.53555379368618	0.82	0.246	0
Thal-RG-6	KLHL29	0	2.45532411316713	0.854	0.339	0
Thal-RG-6	RYR3	0	2.39953103860458	0.945	0.308	0
Thal-RG-6	GPC5	0	2.367797909757	0.791	0.269	0
Thal-RG-6	AC093765.3	0	2.34642794757463	0.586	0.052	0
Thal-RG-6	RBFOX3	0	2.28183623533403	0.825	0.177	0
Thal-RG-6	AC007614.1	0	2.22093576540024	0.71	0.096	0
Thal-RG-6	MYRIP	0	2.21183803071	0.757	0.231	0
Thal-RG-6	GPC6	0	2.19837815337213	0.957	0.446	0
Thal-RG-6	ST18	0	2.08004221462401	0.716	0.084	0
Thal-RG-6	AC008415.1	0	2.06319832265704	0.499	0.149	0
Thal-RG-6	ROBO1	0	2.05261300595214	0.921	0.588	0
Thal-RG-6	EPB41L4A	0	2.0115188614016	0.853	0.358	0
Thal-RG-6	PAM	0	1.97057472767247	0.871	0.309	0
Thal-RG-6	UNC13C	0	1.91438231065462	0.921	0.329	0
Thal-RG-6	CDH7	0	1.85458420587796	0.66	0.142	0
Thal-RG-6	DCDC1	0	1.82657619845067	0.521	0.175	0
Thal-RG-6	DSCAML1	0	1.79488486697162	0.845	0.231	0
Thal-RG-6	ZNF804B	0	1.78160501146435	0.53	0.148	0
Thal-RG-6	GRM8	0	1.77896310313343	0.715	0.204	0
Thal-RG-6	SLC26A7	0	1.77577368309999	0.443	0.027	0
Thal-RG-6	TAFA5	0	1.74545273476708	0.828	0.357	0
Thal-RG-6	CADPS2	0	1.73071531530504	0.794	0.357	0
Thal-RG-6	ZNF385B	0	1.70711956858857	0.717	0.184	0
Thal-RG-6	NELL2	0	1.69910730895804	0.957	0.689	0
Thal-RG-6	MCTP1	0	1.69860556033166	0.724	0.278	0
Thal-RG-6	CNTN1	0	1.67321789568783	0.948	0.673	0
Thal-RG-6	EYS	0	1.65494471139825	0.358	0.077	0
Thal-RG-6	CFAP299	0	1.64678290912041	0.499	0.072	0
Thal-RG-6	EPS8	0	1.63146915251699	0.76	0.407	0
Thal-RG-6	PRKCB	0	1.6037821956482	0.725	0.336	0
Thal-RG-6	CPNE4	0	1.60107056889783	0.513	0.158	0
Thal-RG-6	KCND2	0	1.5547900042146	0.979	0.745	0
Thal-RG-6	NAV2	0	1.54871295195396	0.937	0.531	0
Thal-RG-6	NEO1	0	1.54436961701897	0.865	0.507	0
Thal-RG-6	AC093765.2	0	1.52925465750619	0.411	0.027	0
Thal-RG-6	PRDM8	0	1.51347198479133	0.604	0.136	0
Thal-RG-6	CACNA2D1	0	1.4969503907111	0.928	0.614	0
Thal-RG-6	MAML2	0	1.4692634391346	0.871	0.511	0
Thal-RG-6	KCNK1	0	1.45812039594634	0.495	0.108	0
Thal-RG-6	STXBP5L	0	1.45574659404493	0.817	0.47	0
Thal-RG-6	AC009975.1	0	1.45433517747015	0.301	0.034	0
Thal-RG-6	CLYBL	0	1.41438508420129	0.635	0.19	0
Thal-RG-6	ANK3	0	1.39469567797351	0.981	0.741	0
Thal-RG-6	APLP2	0	1.36174695962208	0.717	0.394	0
Thal-RG-6	AL356737.2	0	1.36068089610719	0.361	0.033	0
Thal-RG-6	GNA14	0	1.34788652015097	0.428	0.112	0
Thal-RG-6	CHD7	0	1.3441946423908	0.909	0.528	0
Thal-RG-6	MAML3	0	1.33816797792816	0.867	0.499	0
Thal-RG-6	MIR217HG	0	1.33616948914766	0.443	0.045	0
Thal-RG-6	ZNF521	0	1.33499293850523	0.773	0.301	0
Thal-RG-6	COL25A1	0	1.33193014377999	0.506	0.149	0
Thal-RG-6	ADAM22	0	1.3228721315861	0.744	0.365	0
Thal-RG-6	ROR1	0	1.30674931015142	0.554	0.163	0
Thal-RG-6	PARM1	0	1.3006908852302	0.335	0.071	0
Thal-RG-6	TRHDE	0	1.28771808797355	0.402	0.094	0
Thal-RG-6	AC005064.1	0	1.2773343498363	0.423	0.054	0
Thal-RG-6	SV2B	0	1.25571741361369	0.442	0.089	0
Thal-RG-6	SEZ6L	0	1.25214996708027	0.753	0.37	0
Thal-RG-6	DACH1	0	1.24613865843221	0.943	0.531	0
Thal-RG-6	PELI2	0	1.22485110366859	0.732	0.349	0
Thal-RG-6	GRIN2B	0	1.22039794655723	0.842	0.355	0
Thal-RG-6	RASGEF1C	0	1.18867134758996	0.503	0.123	0
Thal-RG-6	ROBO2	0	1.18740603655944	0.97	0.804	0
Thal-RG-6	NRIP1	0	1.18608751956597	0.643	0.284	0
Thal-RG-6	SATB2	0	1.15404121305222	0.44	0.061	0
Thal-RG-6	EFNA5	0	1.13897271389461	0.802	0.417	0
Thal-RG-6	PAX6	0	1.12684158420134	0.553	0.176	0
Thal-RG-6	FGF5	0	1.12086525181988	0.329	0.03	0
Thal-RG-6	LINC02223	0	1.1178223864746	0.403	0.075	0
Thal-RG-6	NRG1	0	1.06141401914434	0.991	0.844	0
Thal-RG-6	MSRA	0	1.02987073707109	0.945	0.686	0
Thal-RG-6	NREP-AS1	0	1.02609809323438	0.275	0.02	0
Thal-RG-6	KCNK9	0	1.02235942609728	0.347	0.049	0
Thal-RG-6	NFIB	0	0.938277014236426	0.958	0.577	0
Thal-RG-6	PTPRD	0	0.903753195188828	0.986	0.887	0
