Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score	ZscoreP	ldsr_FDR	ldsr_FDR_log10
Cer-CycPro	0.10304506221021784	0.09805278930566996	0.00927270674333741	0.9515525266570914	0.08998691004155603	0.5890377488176541	-1.1440944160883034e-8	4.772318140561825e-9	-2.397355713493179	0.9917430582865099	0.9999905266408811	0
Cer-Endo	0.08554896791043487	0.07905015497186903	0.00808707743673004	0.9240339995057596	0.09453156051159815	0.41905172748162367	-1.502608601524901e-8	5.04506868082025e-9	-2.978370953080068	0.998551074855232	0.9999905266408811	0
Cer-ExN-1	0.12081945809531336	0.16081217398789094	0.00792941047070156	1.3310122104754658	0.06563024363547575	9.17113539424472e-7	9.5770839767284e-9	3.740418503003437e-9	2.5604311306444205	0.0052271190833045695	0.03171118910538105	1.4987874725038832
Cer-ExN-2	0.08776397341523687	0.12024059021651406	0.00904370997768089	1.370044968766636	0.10304581282905775	4.7411643062583e-4	8.086691633445543e-9	5.680835267384163e-9	1.4235039836261962	0.07729505406384055	0.19538471999470805	0.7091094031630957
Cer-ExN-3	0.11321976145913908	0.1461342338592284	0.00952099887394341	1.2907131403201917	0.0840930836740858	9.381787737158e-4	7.810630559581986e-9	4.653505280611773e-9	1.6784402484991188	0.04663059294483225	0.1285873926660526	0.890801609669716
Cer-ExN-4	0.08163664146519159	0.09006017015442228	0.00836565547519652	1.103183185124321	0.10247427288840012	0.3144219259166024	-4.882224617766089e-9	5.708822853086215e-9	-0.8552068864996812	0.8037816877602225	0.9999905266408811	0
Cer-ExN-5	0.09935316269873024	0.09938140034535632	0.01047730194540235	1.0002842148740825	0.10545514265280911	0.9978516613368632	-6.924715036844291e-9	5.705120787808089e-9	-1.2137718541634543	0.8875825714876031	0.9999905266408811	0
Cer-InN-1	0.11559731924613988	0.14594179751844188	0.01155065153100647	1.262501574173099	0.09992144806067534	0.010098823908816	6.233089514993096e-9	5.5491196598873964e-9	1.1232573627939353	0.1306641032381446	0.27652170685281763	0.5582707710631747
Cer-InN-2	0.09490352463338084	0.12262316148668972	0.00800803663882167	1.2920822694456482	0.08438081377648826	6.1741580331113e-4	8.257803576841465e-9	4.420940685741874e-9	1.86788382017293	0.03088913330306833	0.10950831688077542	0.9605528959995366
Cer-InN-3	0.10661685085064834	0.12044983214848327	0.00752175590531821	1.1297447935056022	0.07054940982879794	0.06456179353662617	-1.3228150366603067e-9	3.834953792683039e-9	-0.3449363690337528	0.6349288959436407	0.9999905266408811	0
Cer-InN-4	0.11011264755729548	0.12186746536387584	0.00986963552515731	1.1067526580038314	0.08963216981974571	0.2367993130021336	-1.973451917323692e-9	5.1218730319593194e-9	-0.3852988750423532	0.6499920025465538	0.9999905266408811	0
Cer-InN-5	0.08005590859093005	0.10165478151567808	0.00746879930653327	1.269797361680248	0.09329479157743834	0.00394822288202241	3.810472002395615e-9	5.068143635280771e-9	0.7518476737458367	0.22607133430753498	0.43771258344650393	0.3588109680251635
Cer-InN-6	0.10119340886562496	0.13110587257058914	0.0080426215662282	1.295596956761137	0.07947772148784935	2.8741432669312e-4	9.398790672548933e-9	4.504383645512755e-9	2.0865875139014767	0.01846271846237482	0.0730481469598308	1.136390796503504
Cer-InN-7	0.11412881287011468	0.15239663662604885	0.00896342520185123	1.3353037922113955	0.07853779406303073	3.6103509594327446e-5	1.020712895775414e-8	4.4590315212137074e-9	2.2890910075862965	0.011037032598118633	0.05021849832143978	1.2991362780918956
Cer-InN-8	0.06410515136402166	0.08520321865861177	0.00830490365413132	1.329116566230139	0.12955126814960408	0.0126055619255248	7.941175848849978e-9	6.983263832257421e-9	1.1371725370259855	0.12773308259644017	0.27652170685281763	0.5582707710631747
Cer-IP	0.09015176411164338	0.1081687843580581	0.00790301089015982	1.199852109650373	0.08766340812114101	0.02277657253144123	1.8205097196255963e-9	4.766979961018571e-9	0.38190001521143463	0.3512677645006064	0.62677189352069	0.20289048693630518
Cer-MG	0.07710849517686075	0.06879136848778825	0.0072261574345766	0.8921373491987383	0.09371415455589235	0.24812046619192085	-1.4968250533972752e-8	4.7771825899037335e-9	-3.133279972510822	0.9991356776585789	0.9999905266408811	0
Cer-OPC	0.10102515299457708	0.12537017550217827	0.00857737099977294	1.240979813303604	0.08490332105939369	0.00447427990887865	5.032203880539459e-9	4.688674886862752e-9	1.0732678212855502	0.14157548430272796	0.2928038425351874	0.5334232282254
Cer-RG-1	0.1173600637057324	0.12036248492183446	0.0116723120244451	1.025582988976815	0.0994572741006017	0.7976417219350247	-7.754797990156818e-9	5.663633351366548e-9	-1.3692266976084717	0.9145357884310812	0.9999905266408811	0
Cer-RG-2	0.11624517983835024	0.12037577767556812	0.01180661775077971	1.035533497758461	0.10156651456170412	0.7275537006295869	-8.310308791681697e-9	5.608888959233531e-9	-1.48163189752598	0.9307808665650431	0.9999905266408811	0
Cer-RG-3	0.09567451564368606	0.08613308233667583	0.00729368801545226	0.900271945535165	0.07623438662198861	0.19078334801664013	-1.4463046006939028e-8	4.3219166398886894e-9	-3.346442611468676	0.9995907218928155	0.9999905266408811	0
FC-CycPro	0.11067998689516584	0.1199366158650022	0.00870404253278279	1.0836341711768005	0.07864152117245107	0.28757648024738097	-4.218865002726601e-9	4.123335333132021e-9	-1.023168057379902	0.8468858035128717	0.9999905266408811	0
