Category	TYPE	NGENES	BETA	BETA_STD	SE	P	magma_FDR	magma_FDR_log10
Thal-InN-4	SET	844	0.038528	0.008125	0.03903	0.1618	0.3583666666666666	0.44567239286027904
Thal-InN-5	SET	936	0.079639	0.017639	0.038317	0.018844	0.0660415	1.1801830711705295
Thal-InN-6	SET	1008	0.092255	0.02116	0.037522	0.0069775	0.031747625	1.4982887581822188
Thal-InN-7	SET	1067	0.09341	0.022005	0.035067	0.0038678	0.019553877777777777	1.7087671037161385
Thal-InN-8	SET	773	0.0043679	0.00088334	0.041041	0.45762	0.8328684000000001	0.07942361524256758
Thal-IP	SET	910	0.021909	0.0047883	0.037689	0.28052	0.5601445652173913	0.25169987339793254
Thal-MG	SET	924	-0.15209	-0.033482	0.036615	0.99998	1	-0
Thal-OPC	SET	980	-0.024077	-0.0054496	0.03718	0.74137	1	-0
Thal-RG-1	SET	1053	-0.054115	-0.012669	0.036617	0.93027	1	-0
Thal-RG-2	SET	1080	-0.026733	-0.0063335	0.035677	0.77316	1	-0
Thal-RG-3	SET	1074	-0.076391	-0.018051	0.035151	0.98511	1	-0
Thal-RG-4	SET	1122	-0.04094	-0.009874	0.035257	0.87721	1	-0
Thal-RG-5	SET	648	-0.039239	-0.0072917	0.04288	0.81992	1	-0
Thal-RG-6	SET	1032	0.068576	0.015904	0.037154	0.032475	0.09490446875	1.0227133375434836
Thal-RG-7	SET	994	-0.024617	-0.0056092	0.036225	0.7516	1	-0
