cluster	gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
FC-ExN-1	UNC5D	0	2.50076514148623	0.999	0.689	0
FC-ExN-1	DPY19L1	0	2.05041756049515	0.92	0.352	0
FC-ExN-1	NRP1	0	2.02266857485557	0.809	0.188	0
FC-ExN-1	EML6	0	1.94824840359403	0.657	0.228	0
FC-ExN-1	DOK6	0	1.84730921298413	0.976	0.657	0
FC-ExN-1	CLMP	0	1.72234399449853	0.769	0.296	0
FC-ExN-1	SORBS2	0	1.71148252154295	0.991	0.741	0
FC-ExN-1	CNTNAP2	0	1.6351348222009	0.919	0.499	0
FC-ExN-1	AC119868.2	0	1.59960575840789	0.673	0.187	0
FC-ExN-1	NRG1	0	1.59890864115489	0.976	0.833	0
FC-ExN-1	KCNQ3	0	1.57534827394507	0.988	0.756	0
FC-ExN-1	SEMA3C	0	1.49071096423213	0.856	0.447	0
FC-ExN-1	KCND2	0	1.47191446256472	0.79	0.406	0
FC-ExN-1	CASC15	0	1.43951356692787	0.997	0.937	0
FC-ExN-1	PLCB1	0	1.43836398785216	0.985	0.78	0
FC-ExN-1	AC068931.1	0	1.27760121274579	0.576	0.191	0
FC-ExN-1	MLLT3	0	1.26095917467393	0.998	0.908	0
FC-ExN-1	DISP3	0	1.24627890721146	0.729	0.297	0
FC-ExN-1	RBFOX3	0	1.21645734698825	0.816	0.43	0
FC-ExN-1	CNR1	0	1.20909744084093	0.822	0.458	0
FC-ExN-1	DOCK4	0	1.20650203101872	0.982	0.807	0
FC-ExN-1	RAB12	0	1.19928886679142	0.744	0.329	0
FC-ExN-1	GRAMD1B	0	1.18449587219096	0.894	0.547	0
FC-ExN-1	MEIS2	0	1.12628811516485	0.999	0.809	0
FC-ExN-1	PGAP1	0	1.1113115761009	0.93	0.708	0
FC-ExN-1	KCNN3	0	1.08439618593184	0.751	0.311	0
FC-ExN-1	AC105230.1	0	1.08346973328028	0.453	0.085	0
FC-ExN-1	FAM149A	0	1.08279189158243	0.512	0.146	0
FC-ExN-1	TTC28	0	1.01843723990082	0.997	0.942	0
FC-ExN-1	SLC17A6	0	1.00341514322592	0.472	0.11	0
FC-ExN-1	CUX2	0	0.999651254786668	0.954	0.509	0
FC-ExN-1	SPIRE1	0	0.892356377413412	0.983	0.822	0
FC-ExN-1	AC104781.2	0	0.862188479299808	0.321	0.045	0
FC-ExN-1	AL512590.3	0	0.814622376043603	0.34	0.041	0
FC-ExN-1	NFIB	0	0.743189294878493	1	0.954	0
FC-ExN-1	LRP8	1.14407736318195e-305	1.10500990444449	0.836	0.527	3.46541033307814e-301
FC-ExN-1	SLA	6.03975736416801e-296	1.0128779228639	0.837	0.488	1.82944250560649e-291
FC-ExN-1	HUNK	1.40439446210041e-294	1.10157775263814	0.689	0.299	4.25391082570214e-290
FC-ExN-1	LRRC7	1.62296604169313e-284	0.813188586646234	0.999	0.894	4.9159641402885e-280
FC-ExN-1	ROBO2	6.66579597198995e-284	0.747665730283462	1	0.976	2.01906959991576e-279
FC-ExN-1	MYO10	6.33224595520721e-283	1.12264956836546	0.686	0.31	1.91803729983227e-278
FC-ExN-1	AUTS2	9.79587145724534e-281	0.577310578885223	1	0.998	2.96716946439961e-276
FC-ExN-1	TDRD7	4.82826842661548e-280	1.00282782639739	0.504	0.158	1.46248250642183e-275
FC-ExN-1	NTM	1.35231583581785e-273	1.05542006476641	0.989	0.81	4.09616466669227e-269
FC-ExN-1	GRIA2	1.00034406140241e-272	0.858807819478005	0.98	0.767	3.03004216198789e-268
FC-ExN-1	PLXNA2	9.19236929301239e-266	0.919166710292559	0.959	0.732	2.78436865885345e-261
FC-ExN-1	RASGEF1B	5.94242534677729e-264	1.2050472980635	0.603	0.236	1.79996063753884e-259
FC-ExN-1	CDH4	7.94182060617469e-264	1.02820752196414	0.868	0.46	2.40557746161031e-259
FC-ExN-1	ZNF704	2.69453256329715e-260	0.941693392039081	0.945	0.754	8.16173913422706e-256
FC-ExN-1	KIAA1324	1.41630306510407e-259	1.09922635493938	0.609	0.259	4.28998198420022e-255
FC-ExN-1	NBAT1	1.64843923142119e-258	1.00658616319476	0.592	0.227	4.99312243197478e-254
FC-ExN-1	PTPN4	4.63521151930809e-250	0.909156144556832	0.892	0.676	1.40400556919842e-245
FC-ExN-1	PREX1	3.26887919377044e-246	1.00077148082264	0.63	0.279	9.90143507793066e-242
FC-ExN-1	ST8SIA1	3.81065232929662e-246	1.10045187692587	0.749	0.426	1.15424659054395e-241
FC-ExN-1	CPE	6.01900730877762e-246	0.862938355652718	0.919	0.683	1.82315731382874e-241
FC-ExN-1	BICD1	8.25081587839636e-237	0.696517346918636	0.982	0.887	2.49917212956626e-232
FC-ExN-1	TG	9.92155663043906e-232	0.869294701416814	0.47	0.158	3.00523950335999e-227
FC-ExN-1	EPHB6	8.33775687546847e-231	0.831941477005643	0.396	0.111	2.5255065575794e-226
FC-ExN-1	KCTD16	9.4991534518604e-231	1.23813959800247	0.526	0.191	2.87729358056851e-226
FC-ExN-1	SETD7	9.55261656758949e-231	0.912097233508398	0.477	0.165	2.89348755832286e-226
FC-ExN-1	TENM4	4.44668038659768e-228	0.736318972144266	0.985	0.828	1.34689948910044e-223
FC-ExN-1	ST6GAL2	5.31237703411158e-226	1.03768320024528	0.774	0.487	1.6091190036324e-221
FC-ExN-1	ZNF804A	9.54512154330193e-217	1.09632369385326	0.852	0.594	2.89121731546615e-212
FC-ExN-1	HECTD4	1.06403857394493e-215	0.862321138437464	0.92	0.795	3.2229728404792e-211
FC-ExN-1	SOX11	2.0938236831814e-211	0.628854284193061	0.994	0.942	6.34219193635646e-207
FC-ExN-1	AC069228.1	2.04921978482855e-202	1.08324404985306	0.721	0.438	6.20708672824568e-198
FC-ExN-1	DOP1B	8.35036323152386e-197	0.949972980556609	0.687	0.398	2.52932502282858e-192
