cluster	gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
GE-RG-1	EFL1	1.24967100793818e-18	0.314576469460602	0.27	0.139	3.67115852002e-14
GE-RG-1	AK3	1.25929302640833e-18	0.341769781748247	0.598	0.402	3.69942512367974e-14
GE-RG-1	ACSL3	1.39030771413828e-18	0.347553631652451	0.351	0.2	4.08430697182403e-14
GE-RG-1	KDM3B	1.41014840067289e-18	0.359257433809927	0.465	0.294	4.14259295665674e-14
GE-RG-1	TRAP1	1.55227213310821e-18	0.262225952155158	0.273	0.139	4.56010984543198e-14
GE-RG-1	VPS13D	1.68982010420162e-18	0.488924894771252	0.469	0.301	4.96418452011309e-14
GE-RG-1	CYP20A1	1.72312955059143e-18	0.308668983543689	0.361	0.203	5.06203768077245e-14
GE-RG-1	ALDH7A1	1.90628655922296e-18	0.294849495340574	0.472	0.294	5.6000980250293e-14
GE-RG-1	RAPGEF2	2.02340029940696e-18	0.496330064219721	0.736	0.582	5.94414305956783e-14
GE-RG-1	UBAC2	2.03736703406159e-18	0.326277061009635	0.388	0.227	5.98517313596273e-14
GE-RG-1	MACROD2	2.49193636560511e-18	0.378921969080386	0.37	0.216	7.32056146123814e-14
GE-RG-1	MCCC1	2.58583120507715e-18	0.325371122668535	0.342	0.194	7.59639633115515e-14
GE-RG-1	CCNYL1	2.70434095034289e-18	0.352618479965725	0.265	0.139	7.94454240982232e-14
GE-RG-1	EPHA4	2.74953219448198e-18	0.435370550507671	0.693	0.522	8.07730072772972e-14
GE-RG-1	PDXDC1	2.81488804055008e-18	0.32792567316372	0.699	0.528	8.26929659672398e-14
GE-RG-1	TAF1D	2.98890418488512e-18	0.331888696014634	0.537	0.356	8.78050382393703e-14
GE-RG-1	TRPC1	2.9986942796735e-18	0.332078362547738	0.451	0.275	8.80926418539683e-14
GE-RG-1	DLEU2	3.16905575962095e-18	0.39179920159931	0.906	0.79	9.30973510503846e-14
GE-RG-1	TMEM41B	3.25486492270246e-18	0.35016026167084	0.433	0.267	9.56181668342302e-14
GE-RG-1	TOP3A	3.4016849904243e-18	0.283221101854914	0.259	0.131	9.99312999636947e-14
GE-RG-1	SH3BGRL	3.68744653606217e-18	0.285107915299517	0.586	0.384	1.08326116889898e-13
GE-RG-1	AKT2	3.91273238786302e-18	0.274979262366932	0.291	0.155	1.14944339358252e-13
GE-RG-1	SREK1	4.08456787455944e-18	0.330825360862633	0.363	0.212	1.19992350450933e-13
GE-RG-1	MKLN1	4.20013295787572e-18	0.304736733123226	0.747	0.552	1.23387305903515e-13
GE-RG-1	DEPDC5	5.46544871363234e-18	0.333337477974355	0.325	0.183	1.60558486860377e-13
GE-RG-1	RAD50	5.56708559763373e-18	0.328948650211173	0.387	0.23	1.63544273601686e-13
GE-RG-1	LRRC41	5.70297232172371e-18	0.295855988220256	0.274	0.145	1.67536217895277e-13
GE-RG-1	TSPAN7	6.38312835083623e-18	0.346571832447913	0.385	0.227	1.87517161562516e-13
GE-RG-1	CCDC14	6.5304084245454e-18	0.358698727848031	0.646	0.467	1.9184380828787e-13
GE-RG-1	AHCTF1	6.53979608024998e-18	0.32326089392231	0.4	0.238	1.92119589449504e-13
GE-RG-1	MAP3K4	6.91396619381372e-18	0.331556036795702	0.405	0.245	2.03111584875666e-13
GE-RG-1	ESR2	7.16495153213344e-18	0.349767447186291	0.534	0.354	2.10484781159484e-13
GE-RG-1	AGO3	7.5173709564606e-18	0.338211228503029	0.684	0.51	2.20837806587943e-13
GE-RG-1	SLX4IP	8.48616188816364e-18	0.289634030059338	0.285	0.151	2.49297977788583e-13
GE-RG-1	IDI1	1.00567912952947e-17	0.267955356646204	0.259	0.134	2.95438357881873e-13
GE-RG-1	ZNF827	1.09039919425399e-17	0.321075501187921	0.529	0.344	3.20326571295996e-13
GE-RG-1	SRGAP2C	1.19037528184071e-17	0.301092601373438	0.501	0.322	3.49696546546345e-13
GE-RG-1	NSD1	1.3412824122144e-17	0.34868741096172	0.693	0.519	3.94028534236223e-13
GE-RG-1	SRBD1	1.55246196600109e-17	0.302438841327498	0.303	0.165	4.56066751752139e-13
GE-RG-1	KHDC1	1.59449867346588e-17	0.27381779508517	0.325	0.181	4.68415875304072e-13
GE-RG-1	IRAK1BP1	1.60714632872603e-17	0.356834135014328	0.385	0.231	4.72131376989846e-13
GE-RG-1	ICE2	1.65694798682224e-17	0.271260326329476	0.358	0.204	4.8676161008877e-13
GE-RG-1	GJC1	1.66561509936506e-17	0.302671904786381	0.328	0.185	4.89307747740474e-13
GE-RG-1	ETV6	1.90415351018923e-17	0.361364501588656	0.279	0.149	5.5938317668829e-13
GE-RG-1	IL1RAPL1	1.99117188693948e-17	0.29838811321563	0.454	0.28	5.84946565226211e-13
GE-RG-1	CCDC57	2.24103147042769e-17	0.345352054602551	0.454	0.29	6.58347815067543e-13
GE-RG-1	SMYD3	2.51862204132368e-17	0.350574793948964	0.634	0.44	7.39895597079658e-13
GE-RG-1	TTLL5	2.8469913438206e-17	0.25173214361098	0.621	0.42	8.36360647074178e-13
GE-RG-1	ENSA	3.03830512396021e-17	0.353589136461409	0.486	0.318	8.92562896265791e-13
GE-RG-1	SRFBP1	3.74742776122787e-17	0.269134107272856	0.267	0.14	1.10088185341591e-12
GE-RG-1	POU3F2	4.58191000828495e-17	0.307510249429335	0.354	0.206	1.34602770313387e-12
GE-RG-1	DNAJC9	5.29499040151311e-17	0.326825230232061	0.355	0.212	1.55550933025251e-12
GE-RG-1	GPBP1L1	5.54372254216818e-17	0.282786059653287	0.43	0.265	1.62857937121275e-12
GE-RG-1	USP34	5.83722970228015e-17	0.330388234242957	0.81	0.654	1.71480296963884e-12
GE-RG-1	MSH3	5.9292478447173e-17	0.296458809105587	0.355	0.205	1.7418351393426e-12
GE-RG-1	TNRC6A	6.02579614350549e-17	0.3878233201397	0.849	0.724	1.77019813307761e-12
GE-RG-1	ORC5	6.27957336851991e-17	0.267533881886955	0.294	0.16	1.84475026847009e-12
GE-RG-1	UVRAG	7.18501038424797e-17	0.328141087721158	0.471	0.299	2.11074050058053e-12
GE-RG-1	SPECC1L	7.36278399698178e-17	0.312676931870298	0.715	0.535	2.16296505479334e-12
GE-RG-1	AGL	7.56159245369915e-17	0.26067526055133	0.256	0.134	2.2213690151232e-12
GE-RG-1	FAM92A	8.98973939565185e-17	0.313898405594446	0.291	0.163	2.64091574226064e-12
GE-RG-1	STOX2	9.79837198623676e-17	0.381855970091303	0.591	0.419	2.87846773839677e-12
GE-RG-1	AC019205.1	1.01067805868737e-16	0.283814172736815	0.352	0.205	2.9690689330059e-12
GE-RG-1	PSMA1	1.03804990590264e-16	0.324378192321033	0.301	0.169	3.04947920857018e-12
GE-RG-1	SELENOI	1.07641452279493e-16	0.281685608556647	0.283	0.154	3.16218294361467e-12
GE-RG-1	FBXW8	1.1252381139299e-16	0.292519974918528	0.271	0.146	3.30561200729186e-12
