cluster	gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Hipp-ExN-1	CNTNAP4	0	2.68439789646112	0.897	0.218	0
Hipp-ExN-1	RORA	0	2.48277937810759	1	0.784	0
Hipp-ExN-1	ADGRL2	0	2.47555820035979	0.971	0.351	0
Hipp-ExN-1	DAB1	0	2.29403292863824	1	0.623	0
Hipp-ExN-1	ITPR1	0	2.29013015796059	0.957	0.202	0
Hipp-ExN-1	OPCML	0	2.23157779692409	0.975	0.364	0
Hipp-ExN-1	FOXP2	0	2.1797107381934	0.995	0.393	0
Hipp-ExN-1	DGKH	0	2.17372026506615	0.87	0.228	0
Hipp-ExN-1	EBF1	0	2.07619983874669	0.991	0.377	0
Hipp-ExN-1	HS6ST3	0	2.07226260605786	0.969	0.367	0
Hipp-ExN-1	AC012404.1	0	2.03932666466983	0.786	0.228	0
Hipp-ExN-1	COL24A1	0	2.00229358129833	0.628	0.098	0
Hipp-ExN-1	CA8	0	1.98870835297948	0.928	0.24	0
Hipp-ExN-1	RORA-AS1	0	1.96899782354118	0.756	0.199	0
Hipp-ExN-1	PRKG1	0	1.94271715475897	0.994	0.587	0
Hipp-ExN-1	GRM7	0	1.94000370835765	0.95	0.332	0
Hipp-ExN-1	GRIK1	0	1.93614550706093	0.919	0.376	0
Hipp-ExN-1	TENM3	0	1.90519103266713	0.863	0.444	0
Hipp-ExN-1	MEF2C	0	1.89344053313145	0.859	0.259	0
Hipp-ExN-1	RALYL	0	1.89291989476173	0.989	0.505	0
Hipp-ExN-1	SDK1	0	1.82901703385054	0.935	0.597	0
Hipp-ExN-1	ZNF385D	0	1.81642167504942	0.953	0.457	0
Hipp-ExN-1	CDH12	0	1.77880282199026	0.801	0.245	0
Hipp-ExN-1	TMEM132D	0	1.72146371680708	0.829	0.205	0
Hipp-ExN-1	SHISA9	0	1.68646461505294	0.862	0.287	0
Hipp-ExN-1	PRMT8	0	1.67334757007512	0.497	0.086	0
Hipp-ExN-1	EPHA5	0	1.64071642822978	0.846	0.39	0
Hipp-ExN-1	EPHA7	0	1.59900979263587	0.81	0.391	0
Hipp-ExN-1	CHST11	0	1.597735016811	0.823	0.385	0
Hipp-ExN-1	DMD	0	1.59004950174616	0.994	0.737	0
Hipp-ExN-1	CDH11	0	1.5821975795534	0.679	0.229	0
Hipp-ExN-1	IMMP2L	0	1.57983051448827	0.892	0.521	0
Hipp-ExN-1	SORCS1	0	1.57972844235916	0.689	0.185	0
Hipp-ExN-1	PTGER3	0	1.57215820149369	0.381	0.043	0
Hipp-ExN-1	KITLG	0	1.56523992461517	0.68	0.21	0
Hipp-ExN-1	KCTD8	0	1.54509149426084	0.816	0.302	0
Hipp-ExN-1	BCL11A	0	1.54226723441826	0.792	0.337	0
Hipp-ExN-1	TMTC2	0	1.54158067601804	0.953	0.595	0
Hipp-ExN-1	LRRC3B	0	1.5161205171531	0.725	0.285	0
Hipp-ExN-1	CNTN5	0	1.49748284416467	0.992	0.524	0
